baseSymbol,supply,maxSupply,marketCapUsd,priceQuote
FTT,0.0,,0.0,40.38
NANO,0.0,133248298.0,0.0,5.3
TRX,0.0,,0.0,0.14
YFII,0.0,39375.0,0.0,2787.44
SRM,0.0,10000000000.0,0.0,6.29
ETC,0.0,210700000.0,0.0,14.96
BAND,0.0,,0.0,18.53
JST,0.0,9900000000.0,0.0,0.18
VET,0.0,86712634466.0,0.0,0.09
TCT,730043169.44,,39263965.62,0.05
XZC,11182443.32,21400000.0,49719864.32,4.45
CTXC,249938725.35,299792458.0,83171220.87,0.35
DOCK,657697556.31,1000000000.0,99881132.13,0.15
FIO,227852388.92,1000000000.0,104194734.64,0.46
BEAM,84792280.0,262800000.0,107210729.46,1.26
VITE,479191686.02,,109652786.01,0.23
TRB,1510153.76,1707842.0,114422718.75,75.53
KEY,4468195380.57,,128001900.02,0.03
WTC,72133493.0,100000000.0,131284184.74,1.82
ARPA,1047433449.14,,139613984.18,0.13
MITH,1000000000.0,,149748326.98,0.15
NULS,99620739.31,210000000.0,150386946.59,1.5
BZRX,190892063.35,,152758032.77,0.8
DATA,864825679.46,,164749540.21,0.19
NKN,583666666.0,1000000000.0,180567486.06,0.31
AION,492427074.0,,197277943.96,0.4
IRIS,973341157.09,,214775373.31,0.22
PAX,237000555.41,,237040810.41,1.0
RLC,80070793.24,,237372119.33,2.96
COTI,669740238.21,2000000000.0,254314913.68,0.39
TOMO,80949825.0,,268997448.1,3.32
HIVE,391408393.97,,270452956.68,0.69
STRAX,129851216.0,,283693161.16,2.18
MFT,10000000000.0,10000000000.0,304859199.59,0.03
WAN,169028581.17,210000000.0,320920649.93,1.89
TUSD,321284274.23,,321043970.49,1.0
AUDIO,120000000.0,,339843142.73,2.82
NXM,6375672.83,,366087577.03,57.25
BTS,2994880000.0,3600570502.0,368307183.8,0.12
MTL,65588845.12,66588888.0,394740820.94,6.01
CELR,5494609696.93,10000000000.0,420470234.06,0.08
CVC,670000000.0,,426981466.38,0.64
KAVA,58524186.0,,430397659.92,7.3
SXP,87536975.0,289266978.0,431077290.61,4.86
IOTX,9644304442.32,10000000000.0,484445288.9,0.05
FET,746113681.0,1152997575.0,502223400.02,0.67
OGN,274843834.0,,535500347.31,1.95
FUN,10298879188.66,,552106528.43,0.05
OCEAN,426026836.77,1410000000.0,641034770.52,1.5
WIN,313607571387.0,,720689335.68,0.0
LSK,127683799.06,,761583866.53,5.96
IOST,16374175762.0,,848867259.69,0.05
REN,996163051.02,1000000000.0,1040546824.86,1.04
FTM,2545006273.0,3175000000.0,1059317466.1,0.41
ANKR,6996232711.12,10000000000.0,1099910069.53,0.16
QTUM,98254460.73,107822406.0,1103749593.04,11.24
RSR,13159999000.0,100000000000.0,1132732250.45,0.09
OMG,140245398.25,140245399.0,1187969412.97,8.47
STX,739781894.22,2048913388.0,1237187164.35,1.67
WAVES,104746768.0,,1253915975.74,11.98
BNT,173659767.97,,1297394355.37,7.47
YFI,36634.94,36666.0,1354005065.21,36934.49
ZRX,760547659.17,1000000000.0,1363990434.9,1.79
ONT,807932992.0,1000000000.0,1426955945.27,1.77
ONE,9389474626.29,12600000000.0,1427174022.27,0.15
ICX,595960280.61,,1497876854.84,2.51
UMA,60008181.7,101172570.0,1515385437.73,25.24
RVN,8476215000.0,21000000000.0,1572624858.0,0.19
NPXS,236744908114.95,258526640301.0,1663194913.59,0.01
BAT,1490891169.62,,1749781873.46,1.17
MATIC,4952830774.0,10000000000.0,1769198093.72,0.36
SUSHI,127244443.0,250000000.0,1916814473.59,15.07
DENT,93690412210.74,,1973794532.46,0.02
ENJ,834313756.72,1000000000.0,2040717824.1,2.44
TFUEL,5270590400.0,,2051325618.27,0.39
ZEC,11474956.25,21000000.0,2172421048.2,189.3
RUNE,231775761.1,,2270450538.8,9.78
ZIL,11126821926.63,21000000000.0,2405169271.46,0.22
HBAR,7916866202.0,50000000000.0,2516260169.11,0.32
COMP,5046749.96,10000000.0,2604997255.94,515.73
DASH,10060388.98,18900000.0,2639345800.51,260.66
CHZ,5586361318.61,8888888888.0,2676675494.71,0.48
EGLD,17243901.3,31415926.0,2782724130.29,161.15
ALGO,2617742526.92,10000000000.0,3469127147.07,1.32
NEO,70538831.0,100000000.0,3791842213.28,53.78
XTZ,765208503.12,,3953011343.55,5.16
BUSD,3966435599.81,,3967426877.46,1.0
HOT,169164199065.02,,4709991629.03,0.03
XMR,17878179.4,,4730484112.19,264.33
MIOTA,2779530283.0,2779530283.0,4800128351.83,1.72
AAVE,12469799.62,16000000.0,4932923718.84,394.78
ATOM,248453201.0,,5173889956.74,20.78
EOS,952221797.37,,5876915889.13,6.17
SOL,268150385.57,,6408489273.57,23.86
DOGE,129031337281.03,,7498361436.55,0.06
XLM,22745681623.84,50001806812.0,10428394035.99,0.46
USDC,10597908242.91,,10595163197.01,1.0
FIL,63926834.0,2000000000.0,11347540410.54,177.85
BTT,989980422741.49,,12000215961.99,0.01
LINK,417509556.43,1000000000.0,12671937102.93,30.32
LTC,66752414.52,84000000.0,13586939046.01,203.49
UNI,522086960.59,1000000000.0,15742625155.23,30.17
XRP,45404028640.0,100000000000.0,31872606614.35,0.7
ADA,31948309440.75,45000000000.0,37383306345.01,1.17
DOT,980921980.75,,42693765686.82,43.46
BNB,154532785.0,170532785.0,53901808536.2,348.6
ETH,115318664.31,,234954653089.18,2036.71
BTC,18672456.0,21000000.0,1071902511664.08,57390.42
